﻿Column1,Column2
"Les cochers de fiacre de Berlin, au nombre de 8,000, se sont mis en grève pour protester contre des règlements de police.",Berlin
"Loterie des Enfants tuberculeux. — Lire dans notre liste, en quatrième page, au lieu du chiffre 13336753, le chiffre 2338753.",
"À la suite de perquisitions, les antimilitaristes Jourdan, Palaz et Cholet, de Toulon, vont être poursuivis.",Cholet; Toulon
"Le croiseur-école Duguay-Trouin a quitté Toulon hier, pour effectuer sa deuxième croisière d'instruction.",Toulon
"Mgr Dadolle, le nouvel évêque de Dijon, a pris possession de son siège, par procureur ; l'intronisation aura, lieu le 13 mars.",Dijon
"En chassant aux environs du Luc (Var), le comte André de Colbert s'est tué accidentellement.",Luc; Var
"Les magasins du Vieux-Palais, à Toulon, ont été détruits la nuit dernière par un incendie ; les dégâts atteignent un million.",Vieux-Palais; Toulon
"M. Hervé, vétérinaire à Trouville, signale la naissance d'une chienne phénomène ayant une tête de singe et huit pattes.",Trouville
"Des malfaiteurs inconnus ont dévalisé le magasin de M. Esclangon, bijoutier, rue du Canon, à Toulon.",Canon; Toulon
Une somme de 2.103 fr. a été remise à M. Chanot par la colonie allemande de Marseille à l'occasion des noces d'argent impériales.,Marseille
"À Lyon, les ouvriers emballeurs se sont mis en grève hier matin, à la suite du renvoi d'un de leurs camarades.",Lyon
"Une jeune femme de 26 ans, sur le point de devenir mère, a été trouvée morte dans un corridor, à Toulon. Suicide ou crime.",Toulon
La commission de réception du matériel de télégraphie sans fil à Ouessant est revenue à Brest à cause du mauvais temps.,Ouessant; Brest
"À Aubigné (Sarthe), une femme Millet, 50 ans, ayant imprudemment mis le feu à ses vêtements, a succombé à ses blessures.",Aubigné; Sarthe
Des Italiens employés à la construction du chemin de fer de Tlemcen à Marnia se sont mis en grève.,Italiens; Tlemcen; Marnia
"À Lourdes, l'abbé Coustarot et la supérieure de l'Immaculée-Conception, poursuivis pour escroqueries, ont un sursis.",Lourdes; Immaculée-Conception
"On a trouvé sur la côte, près d'Oran, le cadavre d'un homme paraissant avoir séjourné quinze jours dans l'eau.",Oran
Plusieurs ouvriers de Toulon.se sont livrés à des manifestations tumultueuses contre certains ingénieurs de la marine.,
"À Oissel, près Rouen, un nommé Lebret a tenté de se suicider après avoir étranglé samaîtresse et le fils de celle-ci.",Oissel; Rouen
De Pékin : l'Allemagne a retiré ses troupes de Ching-Ouan-Tao et de Peï-Taï-Ho. Les casernes seront mises aux enchères lundi.,Pékin; Allemagne; Peï-Taï-Ho
On s'occupe activement au ministère de la marine espagnole d'un projet de construction d’un croiseur qui s'appellera Reina-Ena.,
Une commission spéciale russe sera chargée d'arrêter les termes d'une convention avec le Japon au sujet des pêcheries.,
Le duc et la duchesse de Connaught sont arrivés à Lourenço-Marquès et sont repartis pour Barberton (Afrique du sud).,Lourenço-Marquès; Barberton; Afrique du sud
L'ambassade de Turquie à Londres dément les bruits d'après lesquels les Turcs auraient subi des échecs dans le Yemèn.,Turquie; Londres; Turcs; Yemèn
De Londres : M. Beit a donné au Sénat de Hambourg deux millions cinq cent mille fr. pour fonder une université.,Londres
Des Arabes ont attaqué la station d'une compagnie maritime à Maaghil (golfe Persique) et ont tué un ingénieur anglais.,Maaghil; golfe Persique
"Sur la demande de la Perse, la Porte a consenti à rappeler les troupes occupant des points situés en territoire persan.",Perse
Deux grands entrepôts se sont écroulés à Blackburn (Angleterre). Sept hommes ont été blessés.,Blackburn; Angleterre
"Un tremblement de terre s'est fait sentir dans le nord des Indes, à Delhi, à Simla, à Ghaziabad et à Patiala.",Indes; Delhi; Simla; Ghaziabad; Patiala
L'exposition internationale néo-zélandaise sera inaugurée au mois de novembre prochain à Christchurch (Nouvelle-Zélande).,Christchurch; Nouvelle-Zélande
Le nouveau tarif douanier allemand est entré en vigueur hier. Le personnel douanier allemand est très augmenté.,
"Le comte Bernstorff est nommé agent diplomatique, consul général d'Allemagne en Égypte, en place du docteur Jenisch.",Allemagne; Égypte
"À l'Opéra-Comique, le spectacle commen-cera ce soir, à 8 h. 1/4 ; au théâtre de l'Ambigu, rideau à 8 h. 3/4.",Ambigu
"Pour escroqueries à l'inscription maritime de Toulon, l'agent Boscarre a été condamné par défaut à 15 ans de travaux forcés.",Toulon; Boscarre
"MM. Weiss, directeur de la Compagnie de l'Est, et Gerardjo, chef de l'exploitation, inspectent les lignes de Meurthe-et-Moselle.",Gerardjo; Meurthe-et-Moselle
"Une maison s'est écroulée rue Bugeaud, à Lyon : 4 fillettes et un jeune garçon ont été ensevelis sous les décombres.",rue Bugeaud; Lyon
Les admirateurs de Michelet à Nantes préparent pour le 3 juin une fête commémorativeen l'honneur de leur concitoyen.,Nantes
"Le juge d'instruction chargé de l'affaire d'espionnage de Marseille, dans laquelle est impliqué Wolf, a clos son instruction.",Marseille
Des affiches portant en gros caractères « Vive l'anarchie ! » ont été apposées il. l'intérieur de l'arsenal de Toulon.,arsenal de Toulon
"2 canonnières américaines sont à Kiukiang (Chine), où arrivent des personnes fuyant de Nanchang.",Kiukiang; Chine; Nanchang
À Springflelds (Ohio) des inconnus ont réussi à incendier deux maisons habitées par des nègres.,Springflelds; Ohio
De Londres : la gare de Charing Cross sera probablement ouverte au public vers le 20 mars prochain.,Londres; gare de Charing Cross
"L'immunité diplomatique ayant été levée, le jeune Carlo Waddington a été écroué hier à la prison de Bruxelles-Saint-Gilles.",prison de Bruxelles-Saint-Gilles
"Le croiseur Donegal, de la marine britannique, s'est échoué près de Has-Garille, dans la mer Rouge.",Donegal; Has-Garille; mer Rouge
"M. Sato, ministre japonais des affaires étrangères, a donné sa démission à propos de la nationalisation des chemins de fer.",
La commission américaine qui étudie le traité de commerce entre les États-Unis et les Philippines est contre l'adoption.,États-Unis; Philippines
Un torpilleur construit par l'industrie française pour la marine turque va entrer en essais officiels à Toulon.,Toulon
"En descendant du train à Carqueiranne (Var), Mlle Peyron, 50 ans, eut les jambes broyées et mourut peu après.",Carqueiranne; Var
"La fédération socialiste de l'est, réunie à Châlons, a décidé d'opposer à M. Drelon, député sortant, l'ouvrier Paté.",Châlons; Paté
"À Caen, une réunion de la Patrie française a adopté la candidature de M. Le Page, maire de la ville. Pas d'incident.",Caen
On apprend à Toulon qu'une partie de l'équipage du D'Entrecasteaux se serait mutinée à Madagascar.,Toulon; D'Entrecasteaux; Madagascar
"Une fillette de quatre ans, Juliette Enjalvenc, boulevard du Jeu-de-Paume, à Montpellier, s'est tuée en tombant d'une fenêtre.",Jeu-de-Paume; Montpellier
"Un arbitrage du conseil national socialiste décidera du choix entre MM. Piger et Ledin, candidats du parti à Saint-Étienne.",Saint-Étienne
"L'Alliance républicaine démocratique a tenu une réunion à Auxonne, sous les auspices de M. Muteau, député.",Auxonne
"Au théâtre du Gymnase, la première représentation du nouveau spectacle commencera ce soir à neuf heures très précises.",théâtre du Gymnase
"Hier soir 800 personnes ont manifesté, boulevard Voltaire, contre les ouvriers d'une fabrique de meubles 9 arrestations, 2 blessés.",boulevard Voltaire
"La hausse de la Seine a occasionné uncommencement d'inondation dans les chantiers du Métropolitain, place Saint-Michel.",la Seine; Métropolitain; place Saint-Michel
"Un grave tamponnement, qui n'a cause heureusement que des dégâts matériels, s'est produit à Meaux, dimanche soir.",Meaux
"Un violoneux, âgé de 74 ans a été assommé et dévalisé, dans la nuit de dimanche à lundi, sur la route d'Enghien à Villetaneuse.",Enghien; Villetaneuse
"Par suite de la crue de la Marne, qui noie les machines, le travail est arrêté dans deux grandes fabriques à Châlons-sur-Marne.",Châlons-sur-Marne
"L'Association républicaine du canton de Bordeaux a choisi comme candidat aux élections législatives, M. Dormoy, député.",
"À 1,500 mètres de Facture (Gironde), le feu s'est déclaré en plusieurs endroits de la lande, vers le chemin de fer.",Facture; Gironde
"Le 4e bataillon du 51e ligne, à Troyes, s'est embarqué hier soir pour Neuves-Maisons en Meurthe-et-Moselle.",Troyes; Meurthe-et-Moselle
Le ministre de la marine a prescrit au port de Cherbourg de rappeler les quartier maîtres et marins en congé.,Cherbourg
"Roubaix, une réunion, après discours de MM. Jaurès et Willm, a acclamé M. Guesde aux élections législatives.",Roubaix
De nombreux cas de rougeole et de diphtérie ont éclaté à New-York dernièrement. Une épidémie menace la ville.,New-York
Un novice franciscain du monastère de Woodleigh (Angleterre) a été arrêté pour attentat sur une jeune fille.,Woodleigh; Angleterre
"Le prince de Galles a visité le camp de secours pour les victimes de la famine aux Indes, à 100 kilomètres de Gwalior.",Indes; Gwalior
Le duc et la duchesse de Connaught ont quitté Lourenço-Marquès a destination de Beïra.,Lourenço-Marquès; Beïra
"Le nouveau yacht royal anglais, actuellement en construction, jaugera 2,050 tonnes il aura une vitesse de 18 nœuds.",
Le bourgmestre de Munich fait parvenir au lord-maire de Londres un témoignage de sentiments amicaux portant 700 noms.,Munich; Londres
Le roi Frédéric de Danemark a projeté d'inviter les membres du Parlement islandais à visiter Copenhague.,Copenhague
On croit savoir qu'un groupe de deputes anglais va soulever au Parlement la question des couvents afin d'en obtenir l'abolition.,
De Trondhjem cinq bateaux que l'on croyait disparus sont arrivés. Il manque encore huit bateaux avec 25 hommes.,Trondhjem
"On a arrêté à Genève deux individus originaires de Lyon, qui avaient tenté de tuer le concierge d'une villa.",Genève; Lyon
"Marchionni, qui vient d'assassiner M. Revelli, à. Rome, avait déjà commis un crime analogue à Paris en 1903.",Rome; Paris
Le ministère anglais des colonies declare espérer que la nouvelle constitution autonome sera établie au Transvaal avant 1909.,Transvaal
"Au théâtre des Nouveautés, la première représentation de Irrésistible commencera ce soir à neuf heures très précises.",
"Un calorifère a mis le feu à une cloison, à l'hôpital de la Pitié. Commencement d'incendie rapidement éteint.",
"On signale une forte crue du Rhône, due à un éboulement ; des ouvriers occupés à un pont n'ont eu que le temps de fuir.",Rhône
"Sur la route de Bonneuil-Matours (Vienne), 4 artilleurs ont renversé et brisé un calvaire. Une enquête est ouverte.",Bonneuil-Matours; Vienne
"Dans le but criminel de provoquer des accidents, le fil de transmission des disques,près de la gare de Toulon, a été coupé.",gare de Toulon
"Un matelot du Suffren a tenté d'assassiner, à Villefranche, un de ses camarades : il a failli être lynché par l'équipage.",Villefranche
"Au Mourillon, près de Toulon, un torpilleur-vedette s'est échoué sur un fond de sable. On le renflouera aujourd'hui.",Mourillon; Toulon
"Les gardes-côtes Jemmapes et Bouvines ont procédé avec succès, à Cherbourg, à des essais de marche et de tir.",Bouvines; Cherbourg
On annonce la candidature républicaine de M. François Got dans l'arrondissement de Blaye.,Blaye
"Pour voies de fait à un supérieur, François Mison, du 4e bataillon d'Afrique, à Tunis, a été condamné à mort.",Afrique; Tunis
M. Thomson a prescrit une enquête à Toulon sur l'application des règlements visant le personnel des sous-marins.,Toulon
Les autorités maritimes de Toulon poursuivent leur enquête sur la perte du Sully. La date du procès n'est pas fixée.,Toulon; Sully
Une chaloupe à vapeur a été coulée par un sous-marin dans le port de Toulon. Tous les matelots ont été sauvés.,Toulon
"Auguste Péroud, 30 ans, marin du torpilleur Argonaute, été trouvé mort à Toulon par suite d'un excès d'éther et d'opium.",Toulon
"Deux sacs contenant dix mille francs ont été volés sur le chemin de fer du Sud, entre Grasse et Draguignan.",Grasse; Draguignan
"La police de Bordeaux a arrêté une femme Stanley William, recherchée pour vol de 200,000 francs.",Bordeaux
"À Lyon, une femme Leroux a étranglé sa fillette âgée de huit ans, qui souffrait d'une maladie incurable.",Lyon
"Mille terrassiers employés à la canalisation, à Marseille, se sont mis en grève, réclamant une augmentation des salaires.",Marseille
Un vol a été commis au palais royal espagnol d'Aranjuez. Des malfaiteurs ont emporté des bronzes de grande valeur.,palais royal espagnol d'Aranjuez
Des incendies de prairies se sont déclarés dans le Texas. Des milliers de bestiaux ont péri. Pertes 5 millions de fr.,Texas; fr
"On annonce officiellement la nomination de M. Tittoni comme ambassadeur d'Italie à Londres, en remplacement de M. Pansa.",d'Italie; Londres
Un édit impérial chinois ordonne aux fonctionnaires de châtier les auteurs de faux bruits dirigés contre les étrangers.,
Le groupe anglais unioniste libre-échangiste a décidé de ne pas suivre la politique fiscale de MM. Balfour et Chamberlain.,
"De Stockholm : D'après un télégramme de Bayonne, le roi de Suède arrivera à Biarritz le 22 mars.",Stockholm; de Bayonne; Biarritz
Les autorités anglaises ont envoyé dans la Nigérie du Nord 250 hommes de troupes indigènes comme mesure de précaution.,
"Aux délégations, M. Jonnart a nié que le projet d’impôt nouveau fût un artifice pour boucler le budget.",
"Une criminelle mégère, Mme Tulle, a eu, des assises de Rouen, dix ans de travaux forcés, et son amant cinq ans.",Rouen
"Pour son affiche contre les Jaunes, les externes du lycée de Brest ont conspué leur professeur, M. Litalien, adjoint au maire.",Jaunes; Brest
"L’infirmière Élise Bachmann, dont c’était hier le jour de sortie, s’est manifestée folle dans la rue.",
Plainte a été portée par le médecin persan Djaï Khan contre un sien compatriote qui lui vola une tiare.,
Une dizaine de camelots qui criaient le récit d’un chimérique attentat anarchiste à la Madeleine ont été arrêtés.,la Madeleine
Certaine folle arrêtée dans la rue s’était abusivement donnée pour l’infirmière Élise Bachmann. Celle-ci est en parfaite santé.,
"Place du Panthéon, des électeurs échauffés tentèrent de rôtir un mannequin figurant M. Auffray, candidat battu. On les dispersa.",Place du Panthéon
"Arrêté à Saint-Germain, pour grivèlerie, Joël Guilbert but du sublimé. On le désintoxiqua ; mais, hier, il mourait du delirium tremens.",Saint-Germain
Le photographe Joachim Berthoud ne pouvait se consoler de la mort de sa femme. Il s’est tué à Fontenay-sous-Bois.,Fontenay-sous-Bois
"L’abbé Andrieux, de Roannes, près Aurillac, qu’un mari impitoyable perçait mercredi de deux coups de fusil, est mort hier soir.",Roannes; Aurillac
"En désaccord politique, MM. Bégouen, publiciste, et Bepmale, député, s’étaient donné du « voleur » et du « lâche ». Réconciliés.",Réconciliés
"Dans un café, rue Fontaine, Vautour, Lenoir et Atanis ont, à propos de leurs femmes absentes, échangé quelques balles.",rue Fontaine; Vautour; Lenoir
"Les Yodtz, de Bezons, ont été quelque peu brûlés dans un incendie, d’où ils se tirèrent aidés de deux cuirassiers.",Yodtz; Bezons
Dix ans de travaux forcés (assises de Nancy) à Tournour. Cet adolescent avait tué un voyageur à qui il servait de guide.,Nancy; Tournour
Plus de pipes de bruyère. Les ouvriers de Saint-Claude chôment en attendant qu’on les leur paye mieux.,Saint-Claude
"« Si mon candidat échoue, je me tue », avait déclaré M. Bellavoine, de Fresquienne (Seine-Inférieure). Il s’est tué.",Fresquienne; Seine-Inférieure
Un orage a interrompu les fêtes orléanaises qui célébraient Jeanne d’Arc et le 477e anniversaire de la délivrance.,
"Dans le feu d’une discussion politique, à Propriano (Corse), deux hommes ont été tués et deux blessés.",Propriano; Corse
"Sont rétablies, à Bône, les communications du parquet et du barreau avec la prison, d’où le typhus a disparu.",Bône
Collision dans la rue entre la municipalité de Vendres (Hérault) et le parti adverse. Deux gardes champêtres ont été blessés.,Vendres; Hérault
"Désespéré par la faillite d’un de ses débiteurs, M. Arturo Ferretti, négociant à Bizerte, s’est tué d’un coup de fusil de chasse.",Bizerte
"En tonnant pour la République, une couleuvrine, vieille de quelque 300 ans, a éclaté à Chatou, mais sans blesser personne.",Chatou
"L’affaire des détournements à la direction de l’artillerie de Toulon se réduirait à rien, d’après l’enquête du directeur.",Toulon
"Le Dunkerquois Scheld a tiré trois fois sur sa femme. Comme il la manquait toujours, il visa sa belle-mère : le coup porta.",Dunkerquois
"Mme Vivant, d’Argenteuil, avait compté sans le zèle du patron de lavoir Meheu. Il retira de la Seine cette lavandière désespérée.",Argenteuil
"De trouver pendu son fils Hyacinthe, 69 ans, Mme Ranvier, de Bussy-Saint-Georges, fut si déprimée qu’elle ne put couper la corde.",Bussy-Saint-Georges
"La suette militaire qui sévit à Rouillac (Charente), s’aggrave et tend à se propager. Des mesures prophylactiques sont prises.",Rouillac; Charente
"Dans le 2e il a été dressé, en trois jours, 27 contraventions aux cochers-chauffeurs qui exigeaient, d’avance, d’excessifs pourboires.",
"Des autos ont tué, hier, dans les rues de Paris, Mme Resche et M. P. Chaverrais, et gravement blessé Mlle Fernande Tissèdre.",Paris
"À Toulouse, fin du congrès de ces huissiers aux fonctions, a dit un orateur, « délicates, périlleuses et peu rémunérées ».",Toulouse
"Pour leur fougue aux inventaires et au scrutin, des dévots et un électeur ont été condamnés à Cholet et à Saint-Girons.",Cholet; Saint-Girons
"La fête du 1er mai fut bruyante à Lorient, mais nul geste de violence n’y donna prétexte à une répression.",Lorient
"Dans une bagarre, à Grenoble, trois manifestants ont été arrêtés par la troupe qui, d’ailleurs, fut huée.",Grenoble
"Ayant trouvé sur son seuil un engin suspect, l’imprimeur Friquet, d’Aubusson, a déposé une plainte contre inconnu.",Aubusson
"Du sable, sans plus, chargeait deux engins qui, hier matin, avaient effrayé Saint-Germain-en-Laye.",Saint-Germain-en-Laye
"Le maire révoqué de Montigny, sa femme et un conseiller municipal ont été condamnés à quelque prison pour faits de grève.",Montigny
"D…, du 8e colonial (Toulon), qui incita les détenus à tapager dans les locaux disciplinaires, est puni de 60 jours de prison.",Toulon
"À Versailles, un allumeur de réverbères, et, à La Garenne-Colombes, un sacristain, ont trouvé des engins, mèche éteinte.",Versailles; La Garenne-Colombes
"Se pendant à la portière, un voyageur un peu lourd fit basculer son fiacre, à Ménilmontant, et se fracassa la tête.",Ménilmontant
"Furieux qu’on lui escamotât sa pêche, M. Le-pieux, pêcheur à Vieux-Port (Eure), a presque tué l’amateur de poisson.",Vieux-Port; Eure
"Quatre chevaux, sans leurs dragons, se sont emballés quai de Javel. Ils ont renversé un fiacre et son cocher Fouché.",Javel
"Brûlants de passion électorale, des auditeurs de M. Lafferre, à Agde, se sont battus. Plusieurs furent blessés, l’un grièvement.",Agde
Le conseil municipal de Toulon voulait pour la police la journée de huit heures. Sa délibération est annulée par le préfet.,Toulon
Le ministre des finances a prescrit aux percepteurs toulonnais d’être bénins aux contribuables lésés par les grèves.,
"Malgré vingt ans de bagne (c’était par contumace), l’architecte bordelais M. Miot vivait tranquille à Toulon. On l’y a arrêté.",Toulon
"Blessé à la tête, légèrement, croyait-il, Kremer, de Pont-à-Mousson, travailla quelques heures encore, puis tomba mort.",Pont-à-Mousson
"Rue Geoffroy-Maris, une jeune femme, Charlotte, a été tuée hier soir par une autre femme qu’on ne connaît pas encore.",Rue Geoffroy-Maris
"Trop pauvre pour l’élever, dit-il, Triquet, de Théligny (Sarthe), a étouffé son fils, âgé d’un mois.",Théligny; Sarthe
"Force horions se sont échangés, à Hennebout, entre rouges et jaunes, entre partisans de la grève et ouvriers plus dociles.",Hennebout
"Congrès d’étudiants, à Bordeaux, le 1er mai 1907. On y discutera la question internationale de l’équivalence des diplômes.",Bordeaux
"Le galant Léon Courtescu, d’Angers, a été précipité dans la Maine, où il s’est noyé, par un mari, le sieur Brouard.",Angers; Maine
"« Notre patriotisme ne sépare point le pays du gouvernement qu’il s’est donné », a dit au 9e corps le général Blancq.",
"Au cours d’une rixe dans une rue chaude de Tours, les soldats Machet, Braquier, Brému et le menuisier Jablot ont été blessés.",Tours; Braquier
"Au Brabant (Vosges), M. Amet-Chevrier, 42 ans, et sa femme, 39 ans, ont désormais dix-neuf enfants.",Brabant; Vosges
"M. Bozzoli, de Constantine, se querellait avec sa mère. Elle tomba morte (rupture d’anévrisme). Désespéré, il se cassa la tête.",Constantine
"Une façon de marabout qu’hébergeait un Arabe des environs de Constantine, lui a emporté sa cassette et sa fille.",Constantine
"Deux bohémiens se battaient pour la jeune Colomba, près de Belfort. Incidemment, elle reçut de l’un, Sloga, une balle mortelle.",Colomba; Belfort; Sloga
"Comme l’affaire du Cercle du commerce endormait les juges marseillais, Me Aubin et le Président croisèrent d’aigres propos.",
"Mme Montet, du Bost (Loire), a été cambriolée par des parents, croit-on, de son mari, le parricide bien connu.",Bost; Loire
"À l’arrivée à Marseille de l’express de Paris, on a arrêté le chauffeur, homme funeste aux colis postaux.",Marseille; Paris
Les grévistes de Ronchamp (Haute-Saône) ont jeté à l’eau un ouvrier qui s’entêtait à travailler.,Ronchamp; Haute-Saône
"Le médecin chargé d’autopsier Mlle Cuzin, de Marseille, morte mystérieusement, a conclu : suicide par strangulation.",Marseille
"Le serrurier Bonnaut, de Montreuil, causait devant sa porte, quand l’apache « Gueule d’empeigne » le frappa de deux coups de couteau.",Montreuil
"En partie joyeuse dans un quartier mal famé de Toulon, le brigadier Hory, du 3e colonial, fut tué à coups de couteau.",Toulon; Hory
"À Saint-Mihiel, A. Caillet, ordonnance du lieutenant Morin, s’est jeté par la fenêtre sans dire pourquoi. Blessures graves.",
Le canonnier Ruffet s’est enfui de la prison de Brest avec la sentinelle. Lui seul a été rattrapé.,Brest
"Leur canot ayant chaviré, MM. Guittard et Sabathé, de Marmande, se noyèrent. À la nouvelle, M. Guittard père tomba mort.",Marmande
"De par sa gaucherie d’artificier-amateur, le soldat Hébré s’est tué, à Saint-Priest-la-Feuille (Creuse), et a blessé son frère.",Saint-Priest-la-Feuille; Creuse
"Le feu a pris, hier soir, dans un tramway Bastille-Montparnasse qui, vite, dégorgea son monde et que les pompiers inondèrent.",Bastille-Montparnasse
"M. Cocusse, sexagénaire, a été écrasé près d’Arnay-le-Duc (Côte-d’Or), par une automobile qu’on n’a plus revue.",Arnay-le-Duc; Côte-d’Or
"À Saint-Amé (Vosges), le cycliste et la passante qu’il heurta tombèrent : elle, V. Tallias, expira là ; à peine Lacroix se blessa-t-il.",Saint-Amé; Vosges
"Mauvais joueurs, F. et M. Altebo, à la Llagonne (Pyrénées-Orientales), ont tué (matraque et navaja) M. Filian, tricheur peut-être.",Llagonne; Pyrénées-Orientales
"Avant de rentrer à la Bourse du Travail, les socialistes de Brest se plaignent : « Elle est infectée par deux mètres de présence militaire. »",Brest
"De par la munificence du collectionneur E. Ricard, le musée de Longchamp (Marseille) s’accroît de plusieurs œuvres de Puget.",musée de Longchamp; Marseille
"Accident de voiture à Lyzy-sur-Ourcq. Les Combes s’écorchèrent, mais les blessures des gendarmes Collian et Fagot sont graves.",Lyzy-sur-Ourcq; Combes
"Éteint l’incendie de la boulangerie Deschamps, à Limoges, on constata que la boulangère avait été brûlée vive.",Limoges
"Lourds de bronzes, de vaisselle, de linge et de tapisseries, deux cambrioleurs ont été arrêtés, la nuit, à Bry-sur-Marne.",Lourds; Bry-sur-Marne
"M. Abel Bonnard, de Villeneuve-Saint-Georges, qui jouait au billard, s’est crevé l’œil gauche en tombant sur sa queue.",Villeneuve-Saint-Georges
"Toujours on empêchait Mme Couderc, de Saint-Ouen, de se pendre à son espagnolette. Exaspérée, elle s’enfuit à travers champs.",
"Près d’Auxerre, le cheval du capitaine Morin a presque écrasé, en tombant, deux troupiers assis et meurtri son cavalier.",Auxerre
"Comme il y pianotait, la police de Brest jugea non électorales les séances du Barde Artigues, candidat. Contravention. Amende.",Brest
"Muni d’une queue de rat et illusoirement chargé de grès fin, un cylindre de fer-blanc a été trouvé rue de l’Ouest.",rue de l’Ouest
"En se le grattant avec un revolver à détente trop douce, M. Ed. B… s’est enlevé le bout du nez au commissariat Vivienne.",B; Vivienne
"Par étourderie, M. Vossel, employé à la sous-préfecture de Wassy, a tué d’un coup de fusil M. Champenois, fermier.",Wassy
"Il fallut deux heures pour ranimer Clouzard, de Sens, entré dans une cuve à gaz pour secourir Bouy, qui, lui, mourut asphyxié.",Clouzard; Sens; Bouy
"Les terrassiers français de Florac protestent, même à coups de couteau, contre l’abondance de l’Espagnol sur les chantiers.",Florac
"Un prévaricateur, l’agent administratif Vasseur, de Boulogne, a été condamné à six mois de prison.",Vasseur; Boulogne
"Un pendu, depuis deux mois là, a été trouvé dans l’Estérel. De féroces oiseaux l’avaient, à coups de bec, absolument défiguré.",Estérel
"L’église de Miélin (Haute-Saône) étant barricadée, les fidèles y entrent par les fenêtres pour les offices.",Miélin; Haute-Saône
"Bien que nommé à Agen sous le régime de la séparation, Mgr du Vauroux veut administrer la mense. Il s’adresse au tribunal.",Agen
"Dans une discussion post-électorale, à Loos (Nord), plusieurs personnes, notamment M. Contemans, ont été blessées.",Loos; Nord
Fr. Martinet avait essayé de mettre à mort sa femme. Le voilà condamné par les assises de Bordeaux à cinq ans de réclusion.,Bordeaux
"Le domestique Launois a, par inattention, tué son maître, M. Paul Lebrun, de Grauves (Marne), dont il nettoyait le fusil.",Grauves; Marne
"Un faux pas et, dégringolant de roc en roc, le maçon Rouge, de Serrières (Savoie), qui cueillait des simples, se cassa la tête.",Serrières; Savoie
"Sueur, fondeur à Escarbotin (Somme), fera six mois de prison : le 1er mai, il malmenait un sous-officier de hussards.",Escarbotin; Somme
"Pour avoir un peu lapidé les gendarmes, trois dames pieuses d’Hérissart sont mises à l’amende par les juges de Doullens.",Doullens
"Comme M. Poulbot, instituteur à l’Île-Saint-Denis, sonnait pour la rentrée des écoliers, la cloche chut, le scalpant presque.",Île-Saint-Denis
"À Clichy, un élégant jeune homme s’est jeté sous un fiacre caoutchouté, puis, indemne, sous un camion, qui le broya.",Clichy
"J.-C. Leloup, secrétaire de la Bourse du Travail de Dijon, a six jours de prison avec sursis pour avoir appelé uhlans les gendarmes.",
"À la faveur de l’ombre, car ils avaient éteint les becs d’alentour, des gens, à Villefranche (Rhône), ont pillé un entrepôt.",Villefranche; Rhône
"Une jeune femme était assise par terre, à Choisy-le-Roi. Seul mot d’identité que son amnésie lui permit de dire : « Modèle ».",Choisy-le-Roi
"Le cadavre du sexagénaire Dorlay se balançait à un arbre, à Arcueil, avec cette pancarte : « Trop vieux pour travailler. »",Arcueil
"Au sujet du mystère de Luzarches, le juge d’instruction Dupuy a interrogé la détenue Averlant ; mais elle est folle.",Luzarches
